Name	Unified	DoCoMo	KDDI	Softbank	Google
	personal computer	U+1F4BB	U+E716	U+E5B8	U+E00C	U+FE538
	pencil	U+270F	U+E719	U+E4A1	U+E301	U+FE539
	paperclip	U+1F4CE	U+E730	U+E4A0	-	U+FE53A
	briefcase	U+1F4BC	U+E682	U+E5CE	U+E11E	U+FE53B
	minidisc	U+1F4BD	-	U+E582	U+E316	U+FE53C
	floppy disk	U+1F4BE	-	U+E562	U+E316	U+FE53D
	optical disc	U+1F4BF	U+E68C	U+E50C	U+E126	U+FE81D
	dvd	U+1F4C0	U+E68C	U+E50C	U+E127	U+FE81E
	black scissors	U+2702	U+E675	U+E516	U+E313	U+FE53E
	round pushpin	U+1F4CD	-	U+E560	-	U+FE53F
	page with curl	U+1F4C3	U+E689	U+E561	U+E301	U+FE540
	page facing up	U+1F4C4	U+E689	U+E569	U+E301	U+FE541
	calendar	U+1F4C5	-	U+E563	-	U+FE542
	file folder	U+1F4C1	-	U+E58F	-	U+FE543
	open file folder	U+1F4C2	-	U+E590	-	U+FE544
	notebook	U+1F4D3	U+E683	U+E56B	U+E148	U+FE545
	open book	U+1F4D6	U+E683	U+E49F	U+E148	U+FE546
	notebook with decorative cover	U+1F4D4	U+E683	U+E49D	U+E148	U+FE547
	closed book	U+1F4D5	U+E683	U+E568	U+E148	U+FE502
	green book	U+1F4D7	U+E683	U+E565	U+E148	U+FE4FF
	blue book	U+1F4D8	U+E683	U+E566	U+E148	U+FE500
	orange book	U+1F4D9	U+E683	U+E567	U+E148	U+FE501
	books	U+1F4DA	U+E683	U+E56F	U+E148	U+FE503
	name badge	U+1F4DB	-	U+E51D	-	U+FE504
	scroll	U+1F4DC	U+E70A	U+E55F	-	U+FE4FD
	clipboard	U+1F4CB	U+E689	U+E564	U+E301	U+FE548
